,id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
3137,28859886,11885109,Hangfeng,De Baarsjes - Oud-West,52.36405,4.865530000000001,Entire home/apt,119,2,15,1,0
3138,28881884,217729407,Puja,Centrum-Oost,52.36372,4.9217,Entire home/apt,155,2,12,1,0
3139,28882637,76043161,Okem,Bos en Lommer,52.38067,4.85032,Entire home/apt,295,2,6,1,15
3140,28892595,43990861,Elsbeth,De Baarsjes - Oud-West,52.36378,4.876869999999999,Entire home/apt,198,2,23,1,16
3141,28902322,119746691,Michiel,De Baarsjes - Oud-West,52.37177,4.87368,Entire home/apt,115,28,5,1,0
3142,28922236,11687940,Kim,De Baarsjes - Oud-West,52.37454,4.8625300000000005,Entire home/apt,115,2,13,1,0
3143,28924243,4297910,Jeroen,Geuzenveld - Slotermeer,52.38044,4.83816,Entire home/apt,90,3,90,1,0
3144,28934321,218099270,Helene,De Pijp - Rivierenbuurt,52.34502,4.90325,Private room,74,2,7,1,0
3145,28946381,218193397,Ekaterina,Centrum-Oost,52.37405,4.9063,Private room,56,1,236,1,43
3146,28946914,5667892,Mats,Oostelijk Havengebied - Indische Buurt,52.36251,4.9411,Entire home/apt,120,3,1,2,0
3147,28957881,138934482,Leonie,Westerpark,52.38313,4.87289,Private room,600,2,26,1,88
3148,28970533,163282758,Amsterdam The Crane By YAYS,Oostelijk Havengebied - Indische Buurt,52.37628,4.93929,Entire home/apt,323,1,4,1,334
3149,28973269,25681294,Eltjo (& Linda),Zuid,52.3534,4.86534,Private room,129,3,23,1,0
3150,28983337,523115,Renske,De Baarsjes - Oud-West,52.36034,4.86364,Entire home/apt,156,1,30,1,10
3151,28984522,218465236,Rubina,Slotervaart,52.360820000000004,4.8238,Entire home/apt,90,3,3,1,0
3152,29000905,42984635,Agata,Oostelijk Havengebied - Indische Buurt,52.36258,4.93342,Entire home/apt,150,3,13,1,337
3153,29003215,218582446,YAYS Amsterdam Maritime,Centrum-Oost,52.36915,4.92314,Entire home/apt,277,1,1,6,355
3154,29003498,218582446,YAYS Amsterdam Maritime,Centrum-Oost,52.36753,4.92304,Entire home/apt,235,1,1,6,365
3155,29006072,31318146,Daisy,Oostelijk Havengebied - Indische Buurt,52.3634,4.94316,Private room,49,1,48,2,139
3156,29007722,218630712,Marie-Anne,De Pijp - Rivierenbuurt,52.35776,4.88927,Entire home/apt,95,2,31,1,3
3157,29046160,389623,Ric,De Baarsjes - Oud-West,52.363929999999996,4.8750800000000005,Private room,129,4,96,2,64
3158,29067735,10842758,Sarah,De Pijp - Rivierenbuurt,52.35068,4.88796,Entire home/apt,135,2,7,2,0
3159,29071896,219062056,Bram,Westerpark,52.3824,4.872730000000001,Entire home/apt,160,1,29,1,248
3160,29116941,80463611,Rob,Centrum-Oost,52.36769,4.8998099999999996,Entire home/apt,300,3,27,1,0
3161,29117307,218582446,YAYS Amsterdam Maritime,Centrum-Oost,52.36718,4.9229199999999995,Entire home/apt,319,1,42,6,348
3162,29117415,218582446,YAYS Amsterdam Maritime,Centrum-Oost,52.368271,4.923936,Entire home/apt,235,1,196,6,365
3163,29117444,218582446,YAYS Amsterdam Maritime,Centrum-Oost,52.368271,4.923936,Entire home/apt,261,1,43,6,356
3164,29120704,19886464,Rob,Oud-Oost,52.365790000000004,4.92868,Private room,98,2,33,1,130
3165,29124691,219479621,Anne,De Pijp - Rivierenbuurt,52.35305,4.89162,Entire home/apt,265,1,2,1,3
3166,29147326,219618697,YAYS Amsterdam Salthouse Canal,Centrum-West,52.38772,4.8893,Entire home/apt,200,1,54,6,365
3167,29147642,219618697,YAYS Amsterdam Salthouse Canal,Centrum-West,52.38739,4.88823,Entire home/apt,217,1,4,6,363
3168,29147887,219618697,YAYS Amsterdam Salthouse Canal,Westerpark,52.38855,4.888612,Entire home/apt,217,1,8,6,364
3169,29148073,219618697,YAYS Amsterdam Salthouse Canal,Centrum-West,52.38754,4.88968,Entire home/apt,256,1,1,6,365
3170,29148378,219618697,YAYS Amsterdam Salthouse Canal,Oud-Noord,52.38937,4.90497,Entire home/apt,377,1,20,6,348
3171,29148615,219618697,YAYS Amsterdam Salthouse Canal,Centrum-West,52.3874,4.888999999999999,Entire home/apt,347,1,10,6,348
3172,29156993,14049960,Dennis,Centrum-Oost,52.360009999999996,4.90281,Entire home/apt,72,1,30,2,0
3173,29170263,219806624,Joost,Oud-Oost,52.35438,4.92349,Entire home/apt,195,3,6,1,0
3174,29174186,17028825,Li,De Baarsjes - Oud-West,52.36218,4.86589,Entire home/apt,150,1,10,1,0
3175,29174357,176397431,Sjoerd,Westerpark,52.379529999999995,4.87633,Private room,165,1,0,2,0
3176,29175007,77332309,Jack & Semira,De Aker - Nieuw Sloten,52.34248,4.791119999999999,Private room,92,2,66,1,92
3177,29181440,31540174,Isis,De Pijp - Rivierenbuurt,52.35646,4.88986,Entire home/apt,300,3,5,1,63
3178,29212801,14970026,Ethel,Watergraafsmeer,52.341879999999996,4.920730000000001,Private room,71,1,107,1,275
3179,29230120,94786135,Renate,Westerpark,52.382090000000005,4.87935,Entire home/apt,124,2,40,1,283
